="Core Supporting Groups and Welfare Programs"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="test1",="test2",="test3",="test4",="test5",="test6"

="dm_1",="",="",="",="",="",=""
="",="",="",="",="",="",=""

="dm_2",="",="",="",="",="",=""
="",="",="",="",="",="",=""

="dm_6",="",="",="",="",="",=""
="",="",="",="",="",="",=""

="0.dm_1",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.dm_1",="87.7***",="80.0***",="34.2**",="30.2***",="18.8",="12.7"
="",="(12.5)",="(8.69)",="(11.2)",="(8.79)",="(12.4)",="(10.4)"

="0.dm_2",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.dm_2",="91.2***",="61.9***",="27.5*",="7.63",="25.1*",="-18.4"
="",="(12.2)",="(8.09)",="(11.1)",="(7.25)",="(11.3)",="(9.89)"

="0.dm_6",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.dm_6",="82.6***",="91.7***",="53.9***",="15.9",="14.5",="1.64"
="",="(14.9)",="(11.6)",="(13.6)",="(9.64)",="(12.3)",="(11.5)"

="lnpop",="0.26",="0.85***",="0.31",="0.013",="-0.33",="-2.76***"
="",="(0.21)",="(0.16)",="(0.17)",="(0.16)",="(0.19)",="(0.15)"

="e_migdppcln",="-0.068",="0.70***",="0.72***",="0.024",="0.26***",="0.051"
="",="(0.094)",="(0.069)",="(0.069)",="(0.057)",="(0.057)",="(0.047)"

="e_cow_exports",="0.000019*",="0.0000026",="-0.0000015",="0.000021***",="-0.000027***",="-0.0000032"
="",="(0.0000093)",="(0.0000070)",="(0.0000071)",="(0.0000044)",="(0.0000068)",="(0.0000037)"

="e_cow_imports",="-0.000025*",="-0.000027***",="-0.000022**",="-0.000024***",="0.000025***",="0.0000017"
="",="(0.000010)",="(0.0000078)",="(0.0000080)",="(0.0000049)",="(0.0000074)",="(0.0000047)"

="e_miinteco",="-0.22*",="-0.048",="-0.062",="-0.13*",="-0.22**",="0.0088"
="",="(0.088)",="(0.066)",="(0.075)",="(0.056)",="(0.081)",="(0.057)"

="e_Civil_War",="-0.077",="-0.052",="-0.093",="-0.17*",="0.31***",="-0.0086"
="",="(0.077)",="(0.070)",="(0.065)",="(0.069)",="(0.047)",="(0.065)"

="e_miurbpop",="-3.5e-09*",="6.2e-09***",="5.2e-09***",="-5.8e-09***",="5.1e-09***",="-2.8e-09**"
="",="(1.6e-09)",="(1.2e-09)",="(1.2e-09)",="(1.1e-09)",="(1.1e-09)",="(8.6e-10)"

="Country Dummies ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"

="Year Dummies ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"

="N",="2378",="2289",="2278",="2093",="2362",="2354"

="Standard errors in parentheses"
="OLS with panel corrected standard errors."
="* p<0.05, ** p<0.01, *** p<0.001"
