"Country" "ccode" "Year" "Party_Regime" "Party" "Year_Founded" "Party_Age" "Year_in_Power" "Last_Year_of_Power" "Power_Change" "Competition" "Origin" "How_Power_Gained" "How_Power_Ended" "Democracy_Year_After" "Accession_to_Democracy" "Power_from_Independence" "Renaming" "Evolution" "Marxist" "Military" "Monarchy" "Violence" "Occupation" "Compet_Auth" "Compet_Parties" "Last_Before_Dem" "Next_Dem_Year" "Dem_Remains" "Dem_Competitive" "Dem_Power" "Dem_Remains_Any" "Dem_Competitive_Any" "Dem_Power_Any" "Dem_Years_Remains" "Dem_Years_Competitive" "Dem_Years_Power" "Military_Ally" "Governance" "Favors_Ethnic"
"1" "Afghanistan" 700 1930 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "Afghanistan" 700 1931 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "Afghanistan" 700 1932 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "Afghanistan" 700 1933 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "Afghanistan" 700 1934 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "Afghanistan" 700 1935 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "Afghanistan" 700 1936 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "Afghanistan" 700 1937 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "Afghanistan" 700 1938 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "Afghanistan" 700 1939 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "Afghanistan" 700 1940 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "Afghanistan" 700 1941 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "Afghanistan" 700 1942 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "Afghanistan" 700 1943 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "Afghanistan" 700 1944 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "Afghanistan" 700 1945 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "Afghanistan" 700 1946 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "Afghanistan" 700 1947 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "Afghanistan" 700 1948 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "Afghanistan" 700 1949 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "Afghanistan" 700 1950 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "Afghanistan" 700 1951 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "Afghanistan" 700 1952 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "Afghanistan" 700 1953 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "Afghanistan" 700 1954 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "Afghanistan" 700 1955 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "Afghanistan" 700 1956 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "Afghanistan" 700 1957 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "Afghanistan" 700 1958 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "Afghanistan" 700 1959 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "Afghanistan" 700 1960 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "Afghanistan" 700 1961 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "Afghanistan" 700 1962 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "Afghanistan" 700 1963 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "Afghanistan" 700 1964 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "Afghanistan" 700 1965 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "Afghanistan" 700 1966 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "Afghanistan" 700 1967 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "Afghanistan" 700 1968 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "Afghanistan" 700 1969 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "Afghanistan" 700 1970 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "Afghanistan" 700 1971 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "Afghanistan" 700 1972 0 "N" NA NA 1930 "1973" 0 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "Afghanistan" 700 1973 0 "N" NA NA 1930 "1973" 1 NA NA NA NA 0 0 NA NA NA NA 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "Afghanistan" 700 1974 1 "National Revolutionary Party of Afghanistan" 1974 0 1974 "1977" 0 0 "Dictator-Created" "Dictator-Created" "Revolution" 0 0 0 NA 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "Afghanistan" 700 1975 1 "National Revolutionary Party of Afghanistan" 1974 1 1974 "1977" 0 0 "Dictator-Created" "Dictator-Created" "Revolution" 0 0 0 NA 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "Afghanistan" 700 1976 1 "National Revolutionary Party of Afghanistan" 1974 2 1974 "1977" 0 0 "Dictator-Created" "Dictator-Created" "Revolution" 0 0 0 NA 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "Afghanistan" 700 1977 1 "National Revolutionary Party of Afghanistan" 1974 3 1974 "1977" 1 0 "Dictator-Created" "Dictator-Created" "Revolution" 0 0 0 NA 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "Afghanistan" 700 1978 1 "People's Democratic Party of Afghanistan / Homeland Party" 1965 13 1978 "1991" 0 0 "Communist" "Revolution" "Civil War" 0 0 0 "1990" 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "Afghanistan" 700 1979 1 "People's Democratic Party of Afghanistan / Homeland Party" 1965 14 1978 "1991" 0 0 "Communist" "Revolution" "Civil War" 0 0 0 "1990" 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "Afghanistan" 700 1980 1 "People's Democratic Party of Afghanistan / Homeland Party" 1965 15 1978 "1991" 0 0 "Communist" "Revolution" "Civil War" 0 0 0 "1990" 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "Afghanistan" 700 1981 1 "People's Democratic Party of Afghanistan / Homeland Party" 1965 16 1978 "1991" 0 0 "Communist" "Revolution" "Civil War" 0 0 0 "1990" 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "Afghanistan" 700 1982 1 "People's Democratic Party of Afghanistan / Homeland Party" 1965 17 1978 "1991" 0 0 "Communist" "Revolution" "Civil War" 0 0 0 "1990" 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "Afghanistan" 700 1983 1 "People's Democratic Party of Afghanistan / Homeland Party" 1965 18 1978 "1991" 0 0 "Communist" "Revolution" "Civil War" 0 0 0 "1990" 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "Afghanistan" 700 1984 1 "People's Democratic Party of Afghanistan / Homeland Party" 1965 19 1978 "1991" 0 0 "Communist" "Revolution" "Civil War" 0 0 0 "1990" 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "Afghanistan" 700 1985 1 "People's Democratic Party of Afghanistan / Homeland Party" 1965 20 1978 "1991" 0 0 "Communist" "Revolution" "Civil War" 0 0 0 "1990" 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "Afghanistan" 700 1986 1 "People's Democratic Party of Afghanistan / Homeland Party" 1965 21 1978 "1991" 0 0 "Communist" "Revolution" "Civil War" 0 0 0 "1990" 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "Afghanistan" 700 1987 1 "People's Democratic Party of Afghanistan / Homeland Party" 1965 22 1978 "1991" 0 0 "Communist" "Revolution" "Civil War" 0 0 0 "1990" 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "Afghanistan" 700 1988 1 "People's Democratic Party of Afghanistan / Homeland Party" 1965 23 1978 "1991" 0 0 "Communist" "Revolution" "Civil War" 0 0 0 "1990" 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "Afghanistan" 700 1989 1 "People's Democratic Party of Afghanistan / Homeland Party" 1965 24 1978 "1991" 0 0 "Communist" "Revolution" "Civil War" 0 0 0 "1990" 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "Afghanistan" 700 1990 1 "People's Democratic Party of Afghanistan / Homeland Party" 1965 25 1978 "1991" 0 0 "Communist" "Revolution" "Civil War" 0 0 0 "1990" 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "Afghanistan" 700 1991 1 "People's Democratic Party of Afghanistan / Homeland Party" 1965 26 1978 "1991" 2 0 "Communist" "Revolution" "Civil War" 0 0 0 "1990" 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "Afghanistan" 700 1992 0 "N" NA NA 1992 "2000" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "Afghanistan" 700 1993 0 "N" NA NA 1992 "2000" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "Afghanistan" 700 1994 0 "N" NA NA 1992 "2000" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "Afghanistan" 700 1995 0 "N" NA NA 1992 "2000" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "Afghanistan" 700 1996 0 "N" NA NA 1992 "2000" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "Afghanistan" 700 1997 0 "N" NA NA 1992 "2000" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "Afghanistan" 700 1998 0 "N" NA NA 1992 "2000" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"70" "Afghanistan" 700 1999 0 "N" NA NA 1992 "2000" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"71" "Afghanistan" 700 2000 0 "N" NA NA 1992 "2000" 2 NA NA NA NA 0 0 NA NA NA NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"72" "Afghanistan" 700 2001 0 "N" NA NA 2001 "N" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"73" "Afghanistan" 700 2002 0 "N" NA NA 2001 "N" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"74" "Afghanistan" 700 2003 0 "N" NA NA 2001 "N" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"75" "Afghanistan" 700 2004 0 "N" NA NA 2001 "N" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"76" "Afghanistan" 700 2005 0 "N" NA NA 2001 "N" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"77" "Afghanistan" 700 2006 0 "N" NA NA 2001 "N" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"78" "Afghanistan" 700 2007 0 "N" NA NA 2001 "N" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"79" "Afghanistan" 700 2008 0 "N" NA NA 2001 "N" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"80" "Afghanistan" 700 2009 0 "N" NA NA 2001 "N" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"81" "Afghanistan" 700 2010 0 "N" NA NA 2001 "N" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"82" "Afghanistan" 700 2011 0 "N" NA NA 2001 "N" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"83" "Afghanistan" 700 2012 0 "N" NA NA 2001 "N" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"84" "Afghanistan" 700 2013 0 "N" NA NA 2001 "N" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"85" "Afghanistan" 700 2014 0 "N" NA NA 2001 "N" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"86" "Afghanistan" 700 2015 0 "N" NA NA 2001 "N" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"87" "Albania" 339 1940 0 "N" NA NA 1940 "1945" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"88" "Albania" 339 1941 0 "N" NA NA 1940 "1945" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"89" "Albania" 339 1942 0 "N" NA NA 1940 "1945" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"90" "Albania" 339 1943 0 "N" NA NA 1940 "1945" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"91" "Albania" 339 1944 0 "N" NA NA 1940 "1945" 0 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"92" "Albania" 339 1945 0 "N" NA NA 1940 "1945" 1 NA NA NA NA 0 0 NA NA NA NA 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"93" "Albania" 339 1946 1 "Communist Party of Albania / Party of Labour of Albania / Socialist Party of Albania" 1941 5 1946 "1991" 0 0 "Communist" "Communist-Imposed" "Election" 1 1 0 "1948, 1991" 0 1 0 0 0 0 0 NA 1 1992 1 1 0 1 1 1 "1992-1995, 1997-2015" "1992-1995, 1997-2015" "1997-2005, 2013-2015" 1 "Policy-Based/Repressive" 0
"94" "Albania" 339 1947 1 "Communist Party of Albania / Party of Labour of Albania / Socialist Party of Albania" 1941 6 1946 "1991" 0 0 "Communist" "Communist-Imposed" "Election" 1 1 0 "1948, 1991" 0 1 0 0 0 0 0 NA 1 1992 1 1 0 1 1 1 "1992-1995, 1997-2015" "1992-1995, 1997-2015" "1997-2005, 2013-2015" 1 "Policy-Based/Repressive" 0
"95" "Albania" 339 1948 1 "Communist Party of Albania / Party of Labour of Albania / Socialist Party of Albania" 1941 7 1946 "1991" 0 0 "Communist" "Communist-Imposed" "Election" 1 1 0 "1948, 1991" 0 1 0 0 0 0 0 NA 1 1992 1 1 0 1 1 1 "1992-1995, 1997-2015" "1992-1995, 1997-2015" "1997-2005, 2013-2015" 1 "Policy-Based/Repressive" 0
"96" "Albania" 339 1949 1 "Communist Party of Albania / Party of Labour of Albania / Socialist Party of Albania" 1941 8 1946 "1991" 0 0 "Communist" "Communist-Imposed" "Election" 1 1 0 "1948, 1991" 0 1 0 0 0 0 0 NA 1 1992 1 1 0 1 1 1 "1992-1995, 1997-2015" "1992-1995, 1997-2015" "1997-2005, 2013-2015" 1 "Policy-Based/Repressive" 0
"97" "Albania" 339 1950 1 "Communist Party of Albania / Party of Labour of Albania / Socialist Party of Albania" 1941 9 1946 "1991" 0 0 "Communist" "Communist-Imposed" "Election" 1 1 0 "1948, 1991" 0 1 0 0 0 0 0 NA 1 1992 1 1 0 1 1 1 "1992-1995, 1997-2015" "1992-1995, 1997-2015" "1997-2005, 2013-2015" 1 "Policy-Based/Repressive" 0
"98" "Albania" 339 1951 1 "Communist Party of Albania / Party of Labour of Albania / Socialist Party of Albania" 1941 10 1946 "1991" 0 0 "Communist" "Communist-Imposed" "Election" 1 1 0 "1948, 1991" 0 1 0 0 0 0 0 NA 1 1992 1 1 0 1 1 1 "1992-1995, 1997-2015" "1992-1995, 1997-2015" "1997-2005, 2013-2015" 1 "Policy-Based/Repressive" 0
